Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
2025-07-24_03-56-40-335982,meta-llama/Meta-Llama-3-8B,1,1,1,12.085792613333332,12.1830325,15.0574216,15.788794919999999,11.992566100000001,11.958404000000002,15.019051,15.762785939999999
2025-07-24_03-57-10-471993,meta-llama/Meta-Llama-3-8B,1,2,1,9.366601086666666,9.465285999999999,12.1311745,12.69887232,9.316579720000002,9.3886955,12.114882,12.681677579999999
2025-07-24_03-57-40-321592,meta-llama/Meta-Llama-3-8B,1,4,1,8.046252113333333,8.0825245,10.522654600000001,11.088497729999998,8.01329638,8.0144115,10.519782,11.08068502
2025-07-24_03-58-10-778526,meta-llama/Meta-Llama-3-8B,1,8,1,6.995376953333334,6.9213854999999995,9.4348278,9.96879822,6.96795422,6.900018,9.3894942,9.96244642
2025-07-24_03-58-41-925409,meta-llama/Meta-Llama-3-8B,2,1,1,8.843113166666669,8.9348715,11.0567719,11.36272891,8.813510346666666,8.884865000000001,11.0085292,11.35828463
2025-07-24_03-59-14-567376,meta-llama/Meta-Llama-3-8B,2,2,1,6.283026746666666,6.387411999999999,7.982643700000001,8.26371981,6.267376613333334,6.3375544999999995,7.9776852,8.26093401
2025-07-24_03-59-47-792148,meta-llama/Meta-Llama-3-8B,2,4,1,6.473977126666666,6.5358795,7.7660121,7.91107142,6.4638065,6.501441,7.7590584,7.90675627
2025-07-24_04-00-21-454723,meta-llama/Meta-Llama-3-8B,4,1,1,6.217447426666666,6.2988295,7.1813941,7.283038469999999,6.212767566666667,6.284791,7.1765685,7.2784664999999995
2025-07-24_04-00-56-211677,meta-llama/Meta-Llama-3-8B,4,2,1,4.605307940000001,4.7828885,5.08613,5.1455300699999995,4.601730726666666,4.7825945,5.0824343,5.1395488
2025-07-24_04-01-32-219183,meta-llama/Meta-Llama-3-8B,8,1,1,5.291632926666667,5.391221,5.611879200000001,5.68424851,5.28750788,5.3880075000000005,5.6075361,5.68015627
